Artist,Album,Tracks
AC_DC,Back In Black,Hells Bells; Shoot To Thrill; What Do You Do For Money Honey; Giving The Dog A Bone; Let Me Put My Love Into You; Back In Black; You Shook Me All Night Long; Have A Drink On Me; Shake A Leg; Rock And Roll Ain't Noise Polluti; Thunder Struck
AC_DC,Black Ice,Rock N' Roll Train; Skies On Fire; Big Jack; War Machine; Smash 'N' Grab; Spoilin' For A Fight; Wheels; Decibel; Anything Goes; Stormy May Day; She Likes Rock 'N' Roll; Money Made; Rock 'N' Roll Dream; Rocking All The Way; Black Ice
Aerosmith,Get A Grip,Intro; Eat The Rich; Get A Grip; Fever; Livin' On The Edge; Flesh; Walk On Down; Shut Up And Dance; Cryin'; Gotta Love It; Crazy; Line Up; Amazing; Boogie Man; Boogie Man
Aerosmith,Nine Lives,Nine Lives; Falling In Love (Is Hard On The K; Hole In My Soul; Taste Of India; Full Circle; Something's Gotta Give; Ain't That A Bitch; The Farm; Crash; Kiss Your Past Good-Bye; Pink; Attitude Adjustment; Fallen Angels
Aerosmith,Young Lust_ The Aerosmith Anthology Disc,Eat the Rich; Let the Music Do the Talking; Love Me Two Times; My Fist Your Face; Head First; Shame on You; Heart's Done Time; Livin' on the Edge [Acoustic Vers; Don't Stop; Rag Doll; Can't Stop Messin'; Dude (Looks Like a Lady); Amazing [Orchestral Version]; Angel; Cryin'; Hangman Jury; Crazy; Permanent Vacation; Shut Up and Dance; Young Lust; Deuces Are Wild; The Other Side; Walk on Water; What It Takes; Blind Man; Monkey on My Back; Falling in Love (Is Hard on the K; Love in an Elevator; Dream On [Live]; Janie's Got a Gun; Ain't Enough; Hole in My Soul [Live]; Sweet Emotion [Live]; Walk This Way
Airbourne,Runnin' Wild,"Stand Up for Rock 'n' Roll; Runnin' Wild; Too Much, Too Young, Too Fast; Diamond in the Rough; Fat City; Blackjack; What's Eatin' You; Girls in Black; Cheap Wine & Cheaper Women; Heartbreaker; Let's Ride"
Alabama Shakes,Sound & Color,Sound & Color; Don't Wanna Fight; Dunes; Future People; Gimme All Your Love; This Feeling; Guess Who; The Greatest; Shoegaze; Miss You; Gemini; Over My Head
Alanis Morissette,Jagged Little Pill,All I Really Want; You Oughta Know; Perfect; Hand in My Pocket; Right Through You; Forgiven; You Learn; Head over Feet; Mary Jane; Ironic; Not the Doctor; Wake Up; You Oughta Know
Alex Lloyd,Watching Angels Mend,Everybody's Laughing; Green; Trigger; My Friend; Lost In The Rain; Sleep; Amazing; Downtown; Bus Ride; Burn; Easy Exit Station
Alien Ant Farm,ANThology,Courage; Movies; Flesh And Bone; Whisper; Summer; Sticks And Stones; Attitude; Stranded; Wish; Calico; Death Day; Happy Death Day; Smooth Criminal; Universe
